author,discribe,price,title
教育部教育考试院,,¥61.00, 2023全国计算机等级考试二级教程--MS Office高级应用与设计 
刘 毅 朱小平,●饱含著名一线培训讲师的黄金经验 ●方法独特，提炼精辟 ●全新的思维导图，精心构建考点知识树 ●精心设计的100道关键题目，尽收考试攻防要点 ●告别题海战术，助您轻松考过 系统集成项目管理工程师考试,¥30.10," 系统集成项目管理工程师考前冲刺100题（第二版）（软考冲刺100题） 2023告别题海战术！一线讲师+考点大数据分析+思维导图+黄金经验,100道关键题目，尽收考试攻防要点"
严体华、谢志诚、高振江,,¥70.30, 网络规划设计师教程（第2版） 
薛大龙 刘阳 兰帅辉 黄俊玲 邹月平,非凡作者阵容： 本书由具有丰富的软考命题、阅卷、培训经验的薛大龙老师呕心组织编写 内容系统： 本书保留了普通教材的系统性及完整性特点，但在易学性、有效性等方面进行了大幅提升。 一站式解决： 本书还配备了典型题目、案例、真题、模拟题以及答案和解析，还配备了专业英语的相关内容，同时具备了学习与实战的功能。 有的放矢： 通过对考试大纲的细致分析，突出考试中分数占比大的知识点及其他重点难点。,¥29.30, 信息系统监理师考试32小时通关 资深软考培训专家编写，教程+典型习案例题模拟题真题+答案解析+专业英语+思维导图 超值5合1，超高学习效率的32小时学习架构
朱小平 施游 编著,攻克要塞 软考研究 团队真情分享 方法独特，提炼精辟，已助大量考生轻松通过网络规划设计师考试 5天精华，浓缩著名一线软考讲师10年黄金经验 基于历年考点频次大数据组织编写，内容科学，重点突出 精确匹配新考纲， 攻克要塞 公众号提供全天侯学习支持,¥49.30, 网络规划设计师5天修炼（第二版） 教程+黄金经验+习题+全模+题目解析+攻克要塞公众号=6in1的一站式解决方案，内容历经检验
王亚平、刘伟,数据库系统工程师教程（第4版）依据2020年审定通过的考试大纲编写，是计算机软件考试中数据库系统工程师岗位的考试用书，是考生备考的重要学习资料。,¥139.00, 数据库系统工程师教程（第4版） 2021年考试使用的新版教程
薛大龙 主编 邹月平 袁 斐 副主编,本书特色： ●多套近年真题，助您体验真实战场 ●1套押题密卷，领略大数据命中威力 ●答案准确，解析深刻，浓缩著名一线软考讲师10年黄金经验,¥38.70, 软件设计师真题精析与命题密卷（全国计算机技术与软件专业技术资格考试） 2023软考通关，答案准确，解析深刻，浓缩著名一线软考讲师多年黄金经验
蒋建春 主编 文伟平、焦健 副主编,信息安全工程师教程（第2版）是全国计算机技术与软件专业技术资格（水平）考试用书，由官方组织专家编写，对第1版内容进行了全面改版，内容理论联系实际，讲解通俗易懂，更适合新版大纲的要求，更好地帮助考生备考。,¥100.30, 信息安全工程师教程（第2版） 
全国计算机专业技术资格考试办公室,全国计算机技术与软件专业资格（水平）考试由人力资源和社会保障部、工业和信息化部领导组织实施的*职业资格考试；软考考试既是职业资格考试，又是职称资格考试；报考任何级别不需要学历、资历条件；软件设计师考试大纲由全国计算机专业技术资格考试办公室编写；软件设计师考试大纲针对本考试的中级资格制定。软件设计师考试实现中日、中韩互认通过数据库系统工程师考试的考生可以获得由人力资源和社会保障部、工业和信息化部认可的职业资格证书，本考试为中级资格认证。,¥10.70, 软件设计师考试大纲 
教育部教育考试院,,¥56.00, 2023全国计算机等级考试一级教程--计算机基础及MS Office应用 
计算机技术与软件专业技术资格考试研究部,,¥69.00, 系统集成项目管理工程师2016至2020年试题分析与解答 
夏杰 编著,资深网络工程师考试培训专家夏杰老师真情分享 综合教程、练习、真题、全模、专题视频，一本通关 基于历年考点频次大数据组织编写，内容科学，重点突出 方法独特，提炼精辟，已助数千考生轻松通过网络工程师考试,¥49.30, 网络工程师备考一本通 教程+习题+真题+押题+视频五合一
NCT全国青少年编程能力等级测试教程编委会,本书既对NCTNCT全国青少年编程能力等级测试内容进行了详细讲解，又配有题目讲解、真题练习，是一本既适合NCT全国青少年编程能力等级测试考生备考，也适合Python语言编程初学者使用的参考用书。,¥52.20, NCT全国青少年编程能力等级测试教程：Python语言编程二级 本书基于《青少年编程能力等级》标准编写，众多一线信息技术老师及专家参与编写。
薛大龙,,¥40.90, 系统集成项目管理工程师历年真题解析（第5版） 
计算机技术与软件专业技术资格考试研究部,,¥77.40, 软件设计师2016至2020年试题分析与解答 
主 编 薛大龙，副主编 郭云飞 黄俊玲 邹月平 孙烈阳,非凡作者阵容： 本书由具有丰富的软考命题、阅卷、培训经验的薛大龙老师呕心组织编写 内容系统： 本书保留了普通教材的系统性及完整性特点，但在易学性、有效性等方面进行了大幅提升。 一站式解决： 本书还配备了典型题目、案例、真题、模拟题以及答案和解析，还配备了必考知识点的补充内容内容，同时具备了学习与模考的功能。 有的放矢： 通过对考试大纲的细致分析，突出考试中分数占比大的知识点及其他重点难点。 超高效率： 本书作者多数具有软考命题、阅卷及培训经验，32小时超强学习架构正是他们多年宝贵经验的结晶。 超大幅思维导图： 几分钟就能让同学们在头脑中建立整个考试的学习地图，不盲目，不迷失！,¥35.40," 系统集成项目管理工程师考试32小时通关 2023教程+考点梳理+典型习题、真题、全真模拟 +答案解析+思维导图 超值5合1，超高学习效率的32小时学习架构,资深软考培训专家编写"
计算机技术与软件专业技术资格考试研究部,,¥79.00, 信息系统项目管理师2016至2020年试题分析与解答 
朱小平，施游 编著,本书特色： ●方法独特，提炼精辟，已助数万考生轻松通过网络工程师考试 ●攻克要塞 软考研究 团队真情分享 ●5天精华，浓缩著名一线软考讲师10年黄金经验 ●基于历年考点频次大数据组织编写，内容科学，重点突出 ●精确匹配新考纲， 攻克要塞 APP提供全天侯学习支持,¥35.40, 网络工程师5天修炼（第三版） 2023教程+黄金经验+习题+全模+题目解析+公众号=6in1的一站式解决方案，内容历经数万考生检验
计算机技术与软件专业技术资格考试研究部,,¥56.10, 网络工程师2016至2020年试题分析与解答 
倪奕文 编著,资深系统架构设计师考试培训专家倪奕文老师真情分享 综合教程、练习、真题、全模、专题视频，一本通关 基于历年考点频次大数据组织编写，内容科学，重点突出 方法独特，提炼精辟，已助众多考生轻松通过考试,¥53.70, 系统架构设计师备考一本通 教程+习题+真题+押题+视频五合一
（美）特科尔斯基,本书包括的全部知识点均由具经验且分析缜密的专家编写，对考点进行了深度的透析，以确保这些内容和实际考试相吻合。这本书还包括模拟试题部分，可以帮助考生考前热身。与之前版本相比，部分内容根据当前考点进行了调整，并附加了在线内容，使考生备考可以更加充分，从而获得更好的成绩！,¥37.70, Barron’s巴朗AP计算机科学A（第8版） 
教育部教育考试院,,¥60.00, 2023全国计算机等级考试二级教程——WPS Office高级应用与设计 
全国造价工程师职业资格考试教研组主编,本书特色： ***真题 押题 答案 精析*** 6套近年真题，带您熟悉真实战场 1套押题密卷，领略大数据押题威力 答案准确，解析精彩，浓缩著名一线软考讲师10年黄金经验 以点带面，精准延伸，一个考点带动一片知识领域，火力精准延伸，效率事半功倍,¥35.40, 网络规划设计师真题精讲与押题密卷 备考2023！（押题密卷+多套真题+准确答案+名师解析）软考高级-软考教材-软考教程-软考模拟题-软考历年真题-网络规划设计师-网规-真题-模拟题
全国计算机专业技术资格考试办公室 编,本书是全国计算机专业技术资格考试办公室组织编写的系统集成项目管理工程师考试大纲，本书包括了人力资源和社会保障部、工业和信息化部的有关文件以及考试简介。系统集成项目管理工程师考试大纲是针对本考试的信息系统中级资格制定的。通过本考试的考生，可被用人单位择优聘任为工程师。,¥15.00, 系统集成项目管理工程师考试大纲（第2版） 
,,¥23.00, 软考备考2023年系统集成项目管理工程师中级章节题库习题集全国计算机技术与软件教程考试用书 
NCT全国青少年编程能力等级测试教程编委会,本书是NCT全国青少年编程能力等级测试Python三级备考、命题的重要依据，既对NCT全国青少年编程能力等级测试内容进行了详细讲解，又配有题目讲解、真题练习，是一本既适合NCT全国青少年编程能力等级测试考生备考，也适合Python语言编程初学者使用的参考用书。,¥44.90, NCT全国青少年编程能力等级测试教程：Python语言编程三级 本书基于《青少年编程能力等级》标准编写，众多一线信息技术老师及专家参与编写。
教育部考试中心,,¥48.00, 全国计算机等级考试二级教程——Python语言程序设计（2022最新版本） 
计算机技术与软件专业技术资格考试研究部,,¥49.00, 信息安全工程师2016至2020年试题分析与解答 
薛大龙 主编,非凡作者阵容： 本书由具有丰富的软考命题、阅卷、培训经验的薛大龙老师呕心组织编写 内容系统： 本书保留了普通教材的系统性及完整性特点，但在易学性、有效性等方面进行了大幅提升。 一站式解决： 本书还配备了典型题目、案例、真题、模拟题以及答案和解析，还配备了必考知识点的补充内容内容，同时具备了学习与模考的功能。 有的放矢： 通过对考试大纲的细致分析，突出考试中分数占比大的知识点及其他重点难点。 超高效率： 本书作者多数具有软考命题、阅卷及培训经验，32小时超强学习架构正是他们多年宝贵经验的结晶。 超大幅思维导图： 几分钟就能让同学们在头脑中建立整个考试的学习地图，不盲目，不迷失！,¥35.40, 软件评测师考试32小时通关 资深软考培训专家编写，教程+典型习题、案例、全真模拟题 +答案解析+思维导图+必考知识点补充 超值5合1，超高学习效率的32小时学习架构
NCT全国青少年编程能力等级测试教程编委会,本书是NCT全国青少年编程能力等级测试图形化编程三级备考、命题的重要依据，既对NCT全国青少年编程能力等级测试内容进行了详细讲解，又配有题目讲解、真题练习，是一本既适合NCT全国青少年编程能力等级测试考生备考，也适合图形化语言编程初学者使用的参考用书。,¥48.30, NCT全国青少年编程能力等级测试教程：图形化编程三级 本书基于《青少年编程能力等级》标准编写，众多一线信息技术老师及专家参与编写。
王树文 编著,资深软考培训专家王树文老师真情分享 从思路到解析，案例分析一本通关 基于历年案例分析真题，思路清晰，易懂易会 饱含多年授课黄金经验辟，方法独特，提炼精辟 已助数千考生轻松通过信息系统项目管理师考试 王老师微信号（wangsw0918）全程助考,¥41.50, 信息系统项目管理师案例分析一本通 著名软考培训精讲师王树文老师助您轻取下午卷
施游 朱小平 编著,5天精华，饱含著名一线培训讲师黄金经验 基于历年考点分布大数据组织编写，内容系统，重点突出 精确匹配考纲，方法独特，提炼精辟 集教程、真题、习题功能于一身，备考事半功倍 攻克要塞 公众号提供全天侯支持,¥35.40, 信息安全工程师5天修炼（第二版） 2023备考！教材、练习、模考一站解决，大数据分析、思维导图、黄金经验三位一体
施游 刘毅 朱小平 编著,***真题 押题 答案 精析*** 4套近年真题，带您熟悉真实战场 1套押题密卷，领略大数据押题威力 答案准确，解析精彩，浓缩著名一线软考讲师10年黄金经验 以点带面，精准延伸，一个考点带动一片知识领域，火力精准延伸，效率事半功倍,¥29.30, 信息安全工程师真题精讲与押题密卷 2023押题密卷+多套真题+准确答案+名师解析
计算机技术与软件专业技术资格考试研究部,,¥34.80, 信息系统管理工程师2016至2020年试题分析与解答 
李振华 主编,《全国计算机技术与软件专业技术资格（水平）考试辅导用书：信息系统项目管理师考试论文指导》按照人力资源和社会保障部、工业和信息化产业部全国计算机技术与软件专业技术资格（水平）考试高级资格的信息系统项目管理师的论文考试要求编写。 本书由 论文指南 、 论文指导 及 论文指引 三部分组成，实现论文考试写作的入门、进阶与提高。通过解读信息系统项目管理师论文考试大纲、分析论文写作要求；解析信息系统项目管理师论文试题、考察历年论文真题命题趋势与要点；理清信息系统项目管理师论文写作的逻辑思路，明了论文写作的标准格式与套路，实现对论文考试的 指南 、 指导 及 指引 ，促使考生在考试过程中结合自身的信息系统项目管理实践撰写出合格乃至高分的论文。 本书既可作为信息系统项目管理师(高级资格)的论文考试指导用书及信,¥29.00, 信息系统项目管理师考试论文指导 全国计算机技术与软件专业技术资格 水平 考试辅导 按照人力资源和社会保障部、工业和信息化产业部全国计算机技术与软件专业技术资格（水平）考试高级资格的信息系统项目管理师的论文考试要求编写。
全国计算机专业技术资格考试办公室,软件评测师考试大纲是全国计算机技术与软件专业技术资格（水平）考试用书，由全国计算机专业技术资格考试办公室组织编写，是考试命题的依据，同时也是考生的备考指南。通过该资格的考试，可获得中级资格（工程师）。,¥15.00, 软件评测师考试大纲 2021年考试新版大纲
